Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
29,156373,06.01.2015 11:44,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"605,955.14",RON,Offline,NU,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
30,156375,06.01.2015 11:49,C.N.POSTA ROMANA S.A.,RO 427410,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"353,338.20",RON,Offline,NU,NU,30197643-5,Hartie pentru fotocopiatoare (Rev.2)
31,156378,06.01.2015 11:52,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"35,000.00",RON,Offline,NU,NU,30125100-2,Cartuse de toner (Rev.2)
32,156380,06.01.2015 11:53,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"45,253.00",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
33,156396,06.01.2015 12:47,Institutul de Cercetari si Amenajari Silvice - Bucuresti,RO 2607964,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"200,850.00",RON,Online,NU,NU,34110000-1,Autoturisme (Rev.2)
34,156393,07.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,662,385.00",RON,Offline,DA,NU,15111100-0,Carne de vita (Rev.2)
35,156416,07.01.2015 01:30,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,"2,745,000.00",RON,Offline,DA,DA,35125000-6,Sisteme de supraveghere (Rev.2)
36,156376,07.01.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"74,565,476.15",RON,Offline,DA,NU,45255400-3,Lucrari de montaj (Rev.2)
37,156356,07.01.2015 01:30,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,962,650.00",RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
38,156422,07.01.2015 01:30,Institutul de Boli Cardiovasculare Prof. Dr. I. M. Georgescu,RO8615184,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,310,401.00",RON,Online,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
39,156403,07.01.2015 01:30,CENTRU DE ONCOLOGIE DROBETA TURNU SEVERIN,29015247,Mehedinti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"825,739.20",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
40,156395,07.01.2015 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,709,565.00",RON,Offline,DA,NU,15131700-2,Preparate pe baza de carne (Rev.2)
41,156358,07.01.2015 01:30,SPITALUL MUNICIPAL CARACAL,4395086,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"990,791.96",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
42,156394,07.01.2015 01:30,R.A. ROMATSA - ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN,R 1589932,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,840,000.00",EUR,Offline,DA,NU,32344110-0,Sistem de inregistrare vocala (Rev.2)
43,156379,07.01.2015 01:30,OMV PETROM S.A,RO 1590082,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"134,977,931.22",RON,Offline,DA,NU,90715100-3,Servicii de investigatii in domeniul poluarii chimice si petroliere (Rev.2)
44,156433,07.01.2015 01:30,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,"3,555,000.00",RON,Offline,DA,DA,34932000-9,Sisteme radar (Rev.2)
45,156392,07.01.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"5,338,402.91",RON,Offline,DA,NU,43620000-5,Piese pentru utilaje de prelucrare a mineralelor (Rev.2)
46,156400,07.01.2015 01:30,MUNICIPIUL RAMNICU VALCEA,2540813,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"849,750.00",RON,Online,DA,NU,30210000-4,Masini de procesare a datelor (hardware) (Rev.2)
47,156365,07.01.2015 01:30,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,120,800.00",RON,Offline,DA,NU,33141420-0,Manusi chirurgicale (Rev.2)
48,156401,07.01.2015 01:30,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",4284134,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"137,260,000.00",RON,Offline,DA,NU,33111000-1,Aparate de radiologie (Rev.2)
49,156435,07.01.2015 08:43,APASERV SATU MARE S.A.,RO16844952,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,794,000.00",RON,Online,NU,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
50,156413,07.01.2015 12:42,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"258,064.52",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
51,156430,07.01.2015 13:22,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"244,872.00",RON,Offline,NU,NU,50421000-2,Servicii de reparare si de intretinere a echipamentului medical (Rev.2)
52,156404,07.01.2015 13:34,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,069,761.05",RON,Offline,NU,NU,90910000-9,Servicii de curatenie (Rev.2)
53,156405,07.01.2015 13:38,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"91,735.00",RON,Online,NU,NU,30192000-1,Accesorii de birou (Rev.2)
54,156407,07.01.2015 13:45,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"500,749.00",RON,Online,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
55,156409,07.01.2015 13:48,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,113,370.32",RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
56,156410,07.01.2015 13:49,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"76,211.00",RON,Offline,NU,NU,18813300-4,Incaltaminte de oras (Rev.2)
57,156411,07.01.2015 13:51,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"5,032,601.00",RON,Offline,NU,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
58,156414,07.01.2015 14:01,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"10,925.00",RON,Offline,NU,NU,43810000-4,Echipament de prelucrare a lemnului (Rev.2)
59,156415,07.01.2015 14:03,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"50,000.00",RON,Offline,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
60,156419,07.01.2015 14:08,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"358,383.63",RON,Online,NU,NU,09132100-4,Benzina fara plumb (Rev.2)
61,156423,07.01.2015 14:40,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"88,500.00",RON,Offline,NU,NU,45310000-3,Lucrari de instalatii electrice (Rev.2)
62,156427,07.01.2015 14:44,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"567,659.00",RON,Offline,NU,NU,18000000-9,"Imbracaminte, incaltaminte, articole de voiaj si accesorii (Rev.2)"
63,156434,07.01.2015 14:57,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"96,984.00",RON,Offline,NU,NU,19520000-7,Produse din plastic (Rev.2)
64,156443,08.01.2015 01:30,SPITALUL MUNICIPAL CAREI,4038636,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"998,717.00",RON,Offline,DA,NU,33692500-2,Solutii injectabile (Rev.2)
65,156424,08.01.2015 01:30,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"4,410,401.00",RON,Offline,DA,NU,24000000-4,Produse chimice (Rev.2)
66,156408,08.01.2015 01:30,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Prahova,2844634,Prahova,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"4,821,919.20",RON,Offline,DA,NU,85200000-1,Servicii veterinare (Rev.2)
67,156442,08.01.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"664,391.93",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
68,156421,08.01.2015 01:30,REGISTRUL AUTO ROMAN - R.A.,RO 1590236,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,060,000.00",RON,Offline,DA,NU,79521000-2,Servicii de fotocopiere (Rev.2)
69,156412,08.01.2015 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"23,590,689.10",RON,Offline,DA,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
70,156429,08.01.2015 01:30,SPITALUL JUDETEAN DE URGENTA DEVA,4374385,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,555,929.84",RON,Online,DA,NU,33621200-1,Antihemoragice (Rev.2)
71,156431,08.01.2015 01:30,SPITALUL JUDETEAN DE URGENTA DEVA,4374385,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"889,512.00",RON,Online,DA,NU,24111500-0,Gaze medicale (Rev.2)
72,156417,08.01.2015 01:30,"Institutul pentru Ocrotirea Mamei si Copilului Prof. Dr. ""Alfred Rusescu""",4266308,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,569,000.00",RON,Online,DA,NU,33100000-1,Echipamente medicale (Rev.2)
73,156432,08.01.2015 01:30,MUNICIPIUL BUCURESTI,4267117,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"215,620.00",EUR,Offline,DA,NU,39141000-2,Mobilier si echipament de bucatarie (Rev.2)
74,156425,08.01.2015 01:30,REGIA AUTONOMA DE ADMMINISTRARE A DOMENIULUI PUBLIC SI A FONDULUI LOCATIV R.A. CRAIOVA,RO 7403230,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,717,110.00",RON,Offline,DA,NU,14210000-6,"Pietris, nisip, piatra concasata si agregate (Rev.2)"
75,156406,08.01.2015 01:30,SPITALUL MUNICIPAL CARACAL,4395086,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"822,514.32",RON,Online,DA,NU,33650000-1,"Antiinfectioase generale pentru uz sistemic, vaccinuri, antineoplazice si imunomodulatoare (Rev.2)"
76,156444,08.01.2015 01:30,Universitatea Stefan cel Mare Suceava,4244423,Suceava,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"189,193.55",EUR,Offline,DA,DA,38947000-7,Microanalizoare cu raze X (Rev.2)
77,156428,08.01.2015 01:30,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,340,000.00",RON,Offline,DA,NU,24313110-5,Diverse sulfuri (Rev.2)
78,156437,08.01.2015 12:12,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"371,850.00",RON,Offline,NU,NU,33141200-2,Catetere (Rev.2)
79,156446,08.01.2015 12:13,APA CANAL 2000 S.A.,RO 13009001,Arges,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"21,611,205.00",RON,Offline,NU,NU,45332000-3,Lucrari de instalatii de apa si canalizare si de conducte de evacuare (Rev.2)
80,156436,08.01.2015 12:35,SOCIETATEA NATIONALA DE INCHIDERI MINE VALEA JIULUI SA,RO30859649,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"441,000.00",RON,Offline,NU,NU,44313000-7,Plasa metalica (Rev.2)
81,156440,08.01.2015 12:58,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"82,415.00",RON,Offline,NU,NU,30125100-2,Cartuse de toner (Rev.2)
82,156441,08.01.2015 12:59,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"850,000.00",RON,Offline,NU,NU,79631000-6,Servicii de personal si de salarizare (Rev.2)
83,156447,08.01.2015 13:12,BIROUL ROMAN DE METROLOGIE LEGALA,RO 4283376,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"204,838.71",RON,Offline,NU,NU,34144700-5,Vehicule utilitare (Rev.2)
84,156445,09.01.2015 01:30,SPITALUL CLINIC DE RECUPERARE IASI,4541092,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,324,661.08",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
85,156449,09.01.2015 01:30,SERVICIUL DE AMBULANTA BUCURESTI-ILFOV,26361041,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"721,985.71",RON,Offline,DA,NU,66514110-0,Servicii de asigurare a autovehiculelor (Rev.2)
86,156438,09.01.2015 01:30,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,970,560.00",RON,Offline,DA,NU,85112100-8,Servicii privind asternuturile pentru spital (Rev.2)
87,156448,09.01.2015 01:30,APASERV SATU MARE S.A.,RO16844952,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"3,000,000.00",RON,Online,DA,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
88,156480,09.01.2015 11:30,Agentia pentru Dezvoltare Regionala Sud Muntenia,11390243,Calarasi,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"100,000.00",RON,Offline,NU,DA,79311100-8,Servicii de elaborare de studii (Rev.2)
89,156470,09.01.2015 12:37,SPITALUL MUNICIPAL CARACAL,4395086,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"536,222.40",RON,Online,NU,NU,33690000-3,Diverse medicamente (Rev.2)
90,156450,09.01.2015 12:42,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"359,940.00",RON,Offline,NU,NU,71319000-7,Servicii de expertiza (Rev.2)
91,156451,09.01.2015 12:43,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"35,000.00",RON,Offline,NU,NU,71323100-9,Servicii de proiectare a sistemelor de energie electrica (Rev.2)
92,156453,09.01.2015 12:47,Regia Autonoma de Distributie a Energiei Termice Bucuresti,RO 361218,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,077,356.00",RON,Offline,NU,NU,44162200-5,Conducte de distributie (Rev.2)
93,156454,09.01.2015 12:50,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"343,367.19",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
94,156456,09.01.2015 12:52,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"26,350.00",RON,Offline,NU,NU,24453000-4,Erbicide (Rev.2)
95,156457,09.01.2015 13:01,SOCIETATEA COMERCIALA CEZ DISTRIBUTIE S.A.,14491102,Dolj,Lucrari,DA,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,"3,575,510.00",RON,Offline,NU,NU,45232221-7,Statie electrica de transformare (Rev.2)
96,156458,09.01.2015 13:03,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"540,000.00",RON,Online,NU,NU,24452000-7,Insecticide (Rev.2)
97,156462,09.01.2015 13:06,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Negociere,Pretul cel mai scazut,"432,690.00",RON,Offline,NU,NU,72268000-1,Servicii de furnizare de software (Rev.2)
98,156464,09.01.2015 13:23,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"379,922.40",RON,Offline,NU,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
99,156465,09.01.2015 13:25,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,200,000.00",RON,Offline,NU,NU,42131000-6,Robinete si vane (Rev.2)
100,156467,09.01.2015 13:28,"UNIVERSITATEA ""BABES-BOLYAI""",4305849,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"304,200.00",RON,Online,NU,NU,30213000-5,Computere personale (Rev.2)
